product_id,product_name,category_id,product_description
1,Water,1,"High-quality beverages item, Water, sourced responsibly."
2,Cough Syrup,2,"High-quality pharmacy item, Cough Syrup, sourced responsibly."
3,Beef Steak,3,"High-quality meats item, Beef Steak, sourced responsibly."
4,Tulips,4,"High-quality floral item, Tulips, sourced responsibly."
5,Lettuce,5,"High-quality fresh produce item, Lettuce, sourced responsibly."
6,Cheese,6,"High-quality dairy item, Cheese, sourced responsibly."
7,Band-Aids,2,"High-quality pharmacy item, Band-Aids, sourced responsibly."
8,Shrimp,7,"High-quality seafood item, Shrimp, sourced responsibly."
9,Carrots,5,"High-quality fresh produce item, Carrots, sourced responsibly."
10,Frozen Vegetables,8,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly."
11,Chicken Breast,3,"High-quality meats item, Chicken Breast, sourced responsibly."
12,Juice,1,"High-quality beverages item, Juice, sourced responsibly."
13,Bread,9,"High-quality bakery item, Bread, sourced responsibly."
14,Roast Beef,10,"High-quality deli item, Roast Beef, sourced responsibly."
15,Pork Loin,3,"High-quality meats item, Pork Loin, sourced responsibly."
16,Yogurt,6,"High-quality dairy item, Yogurt, sourced responsibly."
17,Ham,10,"High-quality deli item, Ham, sourced responsibly."
18,Lobster,7,"High-quality seafood item, Lobster, sourced responsibly."
19,Salmon Fillet,7,"High-quality seafood item, Salmon Fillet, sourced responsibly."
20,Frozen Pizza,8,"High-quality frozen foods item, Frozen Pizza, sourced responsibly."
21,Sunflowers,4,"High-quality floral item, Sunflowers, sourced responsibly."
22,Bagel,9,"High-quality bakery item, Bagel, sourced responsibly."
23,Soda,1,"High-quality beverages item, Soda, sourced responsibly."
24,Beans,11,"High-quality dry goods item, Beans, sourced responsibly."
25,Roses,4,"High-quality floral item, Roses, sourced responsibly."
26,Croissant,9,"High-quality bakery item, Croissant, sourced responsibly."
27,Ice Cream,8,"High-quality frozen foods item, Ice Cream, sourced responsibly."
28,Apples,5,"High-quality fresh produce item, Apples, sourced responsibly."
29,Turkey Breast,10,"High-quality deli item, Turkey Breast, sourced responsibly."
30,Milk,6,"High-quality dairy item, Milk, sourced responsibly."
31,Pasta,11,"High-quality dry goods item, Pasta, sourced responsibly."
32,Rice,11,"High-quality dry goods item, Rice, sourced responsibly."
33,Aspirin,2,"High-quality pharmacy item, Aspirin, sourced responsibly."
